FEMALE,MINORITY,MOM_ED,DAD_ED,SES_CONT,MATH_pre,T,MATH_post
1,0,Some college,HS diploma or equivalent,-0.03,27.57,1,57.663797404607905
1,0,HS diploma or equivalent,Bachelor's degree,0,52.38,1,82.47379740460791
1,0,Some college,Some college,0,45.38,1,75.47379740460791
1,0,Some college,HS diploma or equivalent,0.02,27.65,1,57.7437974046079
1,1,Vocational/technical program,HS diploma or equivalent,0.02,57.62,1,87.7137974046079
1,0,9th - 12th grade,Some college,0.03,34.76,1,64.8537974046079
0,1,Bachelor's degree,HS diploma or equivalent,0.03,44.79,1,74.8837974046079
1,0,HS diploma or equivalent,Bachelor's degree,0.04,50.58,1,80.6737974046079
0,0,Some college,HS diploma or equivalent,0.04,46.62,1,76.7137974046079
1,0,Some college,Some college,0.05,33.18,1,63.273797404607905
0,1,Vocational/technical program,9th - 12th grade,0.05,28.14,1,58.2337974046079
0,0,Some college,HS diploma or equivalent,0.07,27.35,1,57.443797404607906
1,0,HS diploma or equivalent,Vocational/technical program,0.07,30.27,1,60.3637974046079
0,0,Some college,Some college,0.08,40.3,1,70.3937974046079
0,1,Bachelor's degree,Some college,0.08,29.04,1,59.133797404607904
1,0,Bachelor's degree,Some college,0.08,38.72,1,68.8137974046079
0,1,Vocational/technical program,Vocational/technical program,0.09,42.76,1,72.8537974046079
0,0,Some college,Some college,0.09,35.19,1,65.2837974046079
1,1,Some college,Bachelor's degree,0.09,43.93,1,74.0237974046079
0,0,Some college,Some college,0.1,32.72,1,62.8137974046079
0,0,Some college,Some college,0.1,46.3,1,76.3937974046079
1,0,Some college,Some college,0.1,27.87,1,57.9637974046079
0,1,Some college,Some college,0.11,34.78,1,64.8737974046079
0,1,Some college,Some college,0.11,30.58,1,60.673797404607896
1,0,Bachelor's degree,HS diploma or equivalent,0.12,36.03,1,66.1237974046079
1,1,Some college,Some college,0.12,44.09,1,74.1837974046079
1,0,Some college,HS diploma or equivalent,0.13,34.52,1,64.61379740460791
1,0,Some college,Some college,0.15,35.56,1,65.6537974046079
1,0,HS diploma or equivalent,Some college,0.16,36.35,1,66.4437974046079
1,0,Some college,Some college,0.16,42.27,1,72.36379740460791
1,0,HS diploma or equivalent,Some college,0.17,43.99,1,74.0837974046079
0,0,Some college,Bachelor's degree,0.18,36.88,1,66.97379740460791
0,0,Some college,Bachelor's degree,0.18,36.07,1,66.1637974046079
0,0,Some college,Some college,0.18,66.29,1,96.3837974046079
1,0,HS diploma or equivalent,Some college,0.2,27.1,1,57.193797404607906
1,0,Bachelor's degree,Bachelor's degree,0.21,39.34,1,69.4337974046079
1,1,Some college,HS diploma or equivalent,0.22,25.13,1,55.2237974046079
1,1,Some college,Bachelor's degree,0.22,31.63,1,61.7237974046079
1,0,Some college,Vocational/technical program,0.23,47.14,1,77.2337974046079
1,1,Some college,HS diploma or equivalent,0.24,41.18,0,61.052632111438314
1,0,HS diploma or equivalent,Bachelor's degree,0.24,39.57,0,59.442632111438314
1,1,Some college,Some college,0.24,23.84,0,43.71263211143831
0,1,Some college,Some college,0.24,30.94,0,50.81263211143831
1,0,Some college,Some college,0.24,70.77,0,90.6426321114383
1,0,Bachelor's degree,Bachelor's degree,0.25,32.89,0,52.76263211143831
1,0,Bachelor's degree,HS diploma or equivalent,0.25,43.72,0,63.592632111438306
1,0,Vocational/technical program,Some college,0.25,33.4,0,53.27263211143831
1,0,Bachelor's degree,Bachelor's degree,0.26,56.27,0,76.14263211143832
1,0,Some college,Some college,0.26,30.64,0,50.51263211143831
0,0,Some college,HS diploma or equivalent,0.26,43.71,0,63.582632111438315
0,0,Bachelor's degree,Bachelor's degree,0.27,44.58,0,64.4526321114383
1,0,Bachelor's degree,Bachelor's degree,0.27,49.64,0,69.51263211143831
1,1,Some college,Some college,0.27,47.63,0,67.50263211143832
0,0,Vocational/technical program,Vocational/technical program,0.28,34.64,0,54.51263211143831
1,0,Bachelor's degree,HS diploma or equivalent,0.29,49.69,0,69.5626321114383
0,1,Some college,Some college,0.29,34.84,0,54.71263211143831
0,1,Some college,HS diploma or equivalent,0.3,46.07,0,65.94263211143831
0,0,Some college,Some college,0.31,43.96,0,63.832632111438315
0,0,Bachelor's degree,Bachelor's degree,0.31,44.84,0,64.71263211143831
1,0,Some college,Some college,0.32,29.97,0,49.842632111438306
1,0,Bachelor's degree,Bachelor's degree,0.33,34.7,0,54.57263211143831
1,0,Some college,Some college,0.34,36.03,0,55.90263211143831
1,0,Vocational/technical program,Bachelor's degree,0.34,50.5,0,70.3726321114383
1,0,HS diploma or equivalent,Bachelor's degree,0.34,38.31,0,58.18263211143831
1,0,Some college,Some college,0.34,33.31,0,53.18263211143831
0,0,Some college,Bachelor's degree,0.35,22.99,0,42.86263211143831
0,0,Some college,Some college,0.36,25.84,0,45.71263211143831
1,0,Bachelor's degree,HS diploma or equivalent,0.37,32.2,0,52.07263211143831
1,0,HS diploma or equivalent,Vocational/technical program,0.38,42.06,0,61.93263211143831
0,0,Bachelor's degree,Bachelor's degree,0.38,33.74,0,53.612632111438316
0,0,Master's degree,HS diploma or equivalent,0.38,53.6,0,73.47263211143832
1,0,Bachelor's degree,Some college,0.38,31.39,0,51.26263211143831
1,0,Some college,Some college,0.39,28.26,0,48.13263211143831
1,0,Some college,Some college,0.4,40.69,0,60.562632111438305
1,0,Bachelor's degree,HS diploma or equivalent,0.4,33.09,0,52.96263211143831
0,0,Bachelor's degree,Bachelor's degree,0.42,72.45,0,92.32263211143831
0,0,HS diploma or equivalent,Vocational/technical program,0.42,29,0,48.87263211143831
1,0,HS diploma or equivalent,HS diploma or equivalent,0.43,63.35,0,83.22263211143832
0,0,Some college,Bachelor's degree,0.45,30.49,0,50.36263211143831
0,0,HS diploma or equivalent,Vocational/technical program,0.45,32.4,0,52.27263211143831
1,0,Vocational/technical program,Bachelor's degree,0.46,40.68,0,60.552632111438314
1,1,Bachelor's degree,Some college,0.46,29.53,0,49.40263211143831
0,0,Some college,Bachelor's degree,0.47,39.56,0,59.43263211143831
1,0,Some college,Bachelor's degree,0.48,31.57,0,51.442632111438314
1,0,Some college,Some college,0.48,52.14,0,72.01263211143831
1,0,Bachelor's degree,Some college,0.48,46.47,0,66.3426321114383
1,0,Some college,Bachelor's degree,0.48,27.78,0,47.65263211143831
0,0,Some college,Bachelor's degree,0.48,42.41,0,62.2826321114383
1,1,Bachelor's degree,Some college,0.48,32.04,0,51.91263211143831
1,1,Bachelor's degree,Some college,0.49,37.2,0,57.07263211143831
0,1,Some college,Bachelor's degree,0.5,40.68,0,60.552632111438314
0,0,HS diploma or equivalent,Bachelor's degree,0.5,53.56,0,73.43263211143831
1,0,Master's degree,Some college,0.53,46.3,0,66.1726321114383
0,0,Bachelor's degree,Bachelor's degree,0.54,24.02,0,43.89263211143831
0,0,Some college,Bachelor's degree,0.54,33.37,0,53.24263211143831
0,0,Bachelor's degree,Bachelor's degree,0.55,43.56,0,63.43263211143831
1,0,Master's degree,HS diploma or equivalent,0.57,56.98,0,76.85263211143831
1,1,Some college,Some college,0.57,51.6,0,71.47263211143832
1,1,Bachelor's degree,Bachelor's degree,0.58,34.03,0,53.90263211143831
0,0,Bachelor's degree,HS diploma or equivalent,0.58,46.5,0,66.3726321114383
1,0,Bachelor's degree,Bachelor's degree,0.59,53.96,0,73.83263211143831
0,1,Bachelor's degree,HS diploma or equivalent,0.61,41.62,0,61.49263211143831
1,0,Some college,Bachelor's degree,0.63,57.22,0,77.0926321114383
0,1,Master's degree,HS diploma or equivalent,0.64,45.16,0,65.0326321114383
1,0,Bachelor's degree,Some college,0.64,63.73,0,83.60263211143831
1,1,Bachelor's degree,Bachelor's degree,0.64,45.01,0,64.88263211143831
1,0,Bachelor's degree,Bachelor's degree,0.64,40.21,0,60.082632111438315
1,0,Some college,Master's degree,0.65,72.91,0,92.7826321114383
0,0,HS diploma or equivalent,Some college,0.65,62.69,0,82.5626321114383
1,0,Bachelor's degree,Bachelor's degree,0.65,44.67,0,64.54263211143831
1,1,Some college,Bachelor's degree,0.66,24.1,0,43.972632111438315
0,0,Vocational/technical program,Graduate or professional school but no degree,0.66,40.96,0,60.832632111438315
1,0,Vocational/technical program,Bachelor's degree,0.67,49.29,0,69.16263211143831
0,0,Bachelor's degree,Some college,0.68,36.62,0,56.49263211143831
0,0,Bachelor's degree,Some college,0.68,43.2,0,63.07263211143831
1,1,Graduate or professional school but no degree,Some college,0.69,38.64,0,58.51263211143831
1,0,Vocational/technical program,Bachelor's degree,0.7,27.41,0,47.28263211143831
0,0,Some college,Some college,0.7,56.23,0,76.10263211143831
0,1,Bachelor's degree,Bachelor's degree,0.71,40.84,0,60.71263211143831
0,1,Some college,Master's degree,0.73,68.27,0,88.1426321114383
0,0,Bachelor's degree,Bachelor's degree,0.74,40.83,0,60.702632111438305
1,0,Bachelor's degree,Bachelor's degree,0.75,57.12,0,76.99263211143831
1,0,Bachelor's degree,Bachelor's degree,0.75,31.71,0,51.582632111438315
1,0,Bachelor's degree,Bachelor's degree,0.77,48.72,0,68.5926321114383
0,0,Some college,Bachelor's degree,0.78,43.27,0,63.14263211143832
0,1,Bachelor's degree,Some college,0.8,31.76,0,51.63263211143831
0,0,Some college,Bachelor's degree,0.84,22.32,0,42.192632111438314
1,1,Graduate or professional school but no degree,Some college,0.85,32.88,0,52.75263211143832
1,0,Some college,Some college,0.86,34.48,0,54.35263211143831
1,0,Master's degree,Some college,0.86,36.38,0,56.25263211143832
1,0,Master's degree,Bachelor's degree,0.88,36.56,0,56.43263211143831
0,0,Bachelor's degree,Bachelor's degree,0.88,41.26,0,61.13263211143831
1,0,Bachelor's degree,Bachelor's degree,0.9,30.79,0,50.66263211143831
1,0,Some college,Master's degree,0.9,47.79,0,67.66263211143831
0,0,Bachelor's degree,Master's degree,0.91,51.77,0,71.64263211143832
1,0,Bachelor's degree,Bachelor's degree,0.91,50.91,0,70.7826321114383
0,0,Master's degree,Bachelor's degree,0.93,47.94,0,67.8126321114383
1,0,Some college,Bachelor's degree,0.94,33.15,0,53.02263211143831
0,0,Bachelor's degree,Bachelor's degree,0.96,41.88,0,61.75263211143832
1,0,Bachelor's degree,Master's degree,0.96,90.63,0,110.5026321114383
0,0,Bachelor's degree,Some college,0.97,27.75,0,47.62263211143831
0,0,Bachelor's degree,Some college,1.03,36.9,0,56.77263211143831
1,0,Bachelor's degree,Bachelor's degree,1.05,37.23,0,57.10263211143831
1,1,Some college,Master's degree,1.05,29.21,0,49.082632111438315
0,1,Bachelor's degree,Bachelor's degree,1.06,31.46,0,51.332632111438315
1,0,Some college,Bachelor's degree,1.06,101.09,0,120.96263211143831
1,0,Bachelor's degree,Bachelor's degree,1.06,35.48,0,55.35263211143831
1,0,Master's degree,HS diploma or equivalent,1.08,41.93,0,61.802632111438314
1,0,Bachelor's degree,Graduate or professional school but no degree,1.1,42.59,0,62.46263211143831
1,0,Master's degree,Bachelor's degree,1.11,60.18,0,80.05263211143831
0,1,Bachelor's degree,Bachelor's degree,1.11,31.28,0,51.15263211143831
0,0,HS diploma or equivalent,Dctorate degree or professional degree,1.13,38.54,0,58.41263211143831
1,0,Bachelor's degree,Master's degree,1.14,54.6,0,74.47263211143832
1,1,Bachelor's degree,Bachelor's degree,1.14,32.8,0,52.672632111438304
1,0,Graduate or professional school but no degree,Some college,1.15,30.01,0,49.88263211143831
1,0,Bachelor's degree,Bachelor's degree,1.16,70.34,0,90.21263211143831
0,0,Bachelor's degree,Master's degree,1.17,40.56,0,60.43263211143831
0,1,HS diploma or equivalent,Master's degree,1.18,42.45,0,62.32263211143831
0,0,Bachelor's degree,Bachelor's degree,1.18,46,0,65.8726321114383
0,0,Bachelor's degree,Some college,1.19,38.76,0,58.63263211143831
1,0,Master's degree,Bachelor's degree,1.21,43.09,0,62.96263211143831
0,0,Graduate or professional school but no degree,Bachelor's degree,1.21,40.75,0,60.62263211143831
0,0,Bachelor's degree,Master's degree,1.22,39.63,0,59.50263211143832
0,0,Bachelor's degree,Master's degree,1.22,38.03,0,57.90263211143831
0,0,Bachelor's degree,Bachelor's degree,1.22,44.97,0,64.8426321114383
0,0,Bachelor's degree,Master's degree,1.25,24.06,0,43.93263211143831
1,0,Bachelor's degree,Bachelor's degree,1.27,62.61,0,82.4826321114383
1,0,Master's degree,Bachelor's degree,1.27,53.45,0,73.32263211143831
1,0,Bachelor's degree,Bachelor's degree,1.27,26.86,0,46.732632111438306
1,0,Bachelor's degree,Graduate or professional school but no degree,1.28,52.52,0,72.39263211143832
0,0,Master's degree,Bachelor's degree,1.28,35.33,0,55.202632111438305
1,0,Bachelor's degree,Bachelor's degree,1.3,35.53,0,55.40263211143831
1,0,Bachelor's degree,Master's degree,1.32,46.59,0,66.46263211143831
1,0,Bachelor's degree,Dctorate degree or professional degree,1.32,36.98,0,56.85263211143831
0,1,Dctorate degree or professional degree,Dctorate degree or professional degree,1.34,37.17,0,57.04263211143831
1,0,Bachelor's degree,Dctorate degree or professional degree,1.37,44.01,0,63.88263211143831
1,1,Some college,Dctorate degree or professional degree,1.41,46.15,0,66.02263211143831
1,1,Bachelor's degree,Bachelor's degree,1.41,47.99,0,67.86263211143832
0,0,Master's degree,Some college,1.42,49.64,0,69.51263211143831
1,0,Master's degree,Bachelor's degree,1.43,49.06,0,68.93263211143831
1,0,Dctorate degree or professional degree,Master's degree,1.5,83.48,0,103.35263211143831
0,0,Master's degree,Master's degree,1.53,49.75,0,69.6226321114383
0,1,Dctorate degree or professional degree,Dctorate degree or professional degree,1.53,44.66,0,64.5326321114383
1,0,Dctorate degree or professional degree,Master's degree,1.53,47.18,0,67.05263211143831
0,0,Master's degree,Master's degree,1.55,37.57,0,57.442632111438314
0,1,Master's degree,Master's degree,1.56,48.74,0,68.61263211143832
1,0,Master's degree,Bachelor's degree,1.57,49.56,0,69.43263211143831
0,0,Bachelor's degree,Dctorate degree or professional degree,1.6,41.13,0,61.00263211143832
0,0,Master's degree,Master's degree,1.61,54.34,0,74.21263211143831
0,0,Master's degree,Master's degree,1.66,62.43,0,82.30263211143831
1,0,Master's degree,Master's degree,1.69,67.65,0,87.52263211143831
1,0,Master's degree,Master's degree,1.71,31.72,0,51.592632111438306
0,0,Some college,Dctorate degree or professional degree,1.82,39.4,0,59.27263211143831
1,0,Bachelor's degree,Dctorate degree or professional degree,1.91,55.29,0,75.16263211143831
0,1,Bachelor's degree,Dctorate degree or professional degree,1.91,43.03,0,62.90263211143831
1,1,Master's degree,Dctorate degree or professional degree,1.93,50.5,0,70.3726321114383
0,0,Master's degree,Dctorate degree or professional degree,1.96,53.24,0,73.11263211143832
0,0,Bachelor's degree,Dctorate degree or professional degree,1.99,44.26,0,64.13263211143831
1,1,Bachelor's degree,Dctorate degree or professional degree,2.04,45.05,0,64.9226321114383
0,1,Bachelor's degree,Dctorate degree or professional degree,2.15,51.33,0,71.2026321114383
1,1,Master's degree,Dctorate degree or professional degree,2.19,50.91,0,70.7826321114383
1,1,Dctorate degree or professional degree,Dctorate degree or professional degree,2.27,65.12,0,84.99263211143831
1,0,Dctorate degree or professional degree,Dctorate degree or professional degree,2.28,39.14,0,59.01263211143831
0,0,Master's degree,Dctorate degree or professional degree,2.33,48.74,0,68.61263211143832
0,0,Master's degree,Dctorate degree or professional degree,2.33,53.46,0,73.33263211143831
0,1,Dctorate degree or professional degree,Dctorate degree or professional degree,2.42,47.08,0,66.9526321114383
1,0,Dctorate degree or professional degree,Dctorate degree or professional degree,2.56,37.98,0,57.85263211143831
